Key_ID,AR_Text,EN_Text
dlg_lv2_post_2,"هدول... رسائل من مصر، لما كنت صغيرة.","These are... letters from Egypt, from when I was young."
dlg_lv2_post_3,"مصر؟! ما قلتيلي إنك سافرتي!","Egypt?! You never told me you traveled!"
dlg_lv2_post_4,"في كتير ما قلتلك يا ليث... تعال شوف النافذة هديك.","There's a lot I haven't told you, Laith... come look at that window."
dlg_lv3_pre_1,"النافذة هاي... بتطل على الشارع القديم، صح؟","This window... it overlooks the old street, right?"
dlg_lv3_pre_2,"أي، كنت أقعد هون وأتفرج على الناس... وأحلم.","Yes, I used to sit here watching the people... and dreaming."
dlg_lv3_post_1,"خريطة؟! هاي خريطة... لكل أنحاء العالم!","A map?! This is a map... of the whole world!"
dlg_lv3_post_2,"كنت أحلم أسافر لكل مكان عليها، يا ولدي.","I used to dream of traveling everywhere on it, my dear."
dlg_lv3_post_3,"وسافرتي فعلاً؟","And did you actually travel?"
dlg_lv3_post_4,"أكتر مما تتخيل... بس هاد سر المراحل الجاية.","More than you can imagine... but that's the secret of the coming levels."
nar_lv1_before,"مرحباً، أنا ليث. هذا مقهى جدتي القديم... لقد أهملته لسنوات. أريد إعادته لجماله القديم. لنبدأ من هذا الركن...","Hello, I'm Laith. This is my grandma's old café... neglected for years. I want to restore its old beauty. Let's start with this corner..."
nar_lv1_after,"آه... هذا الركن. كانت جدتي تجلس هنا كل صباح. أستطيع تقريباً أن أشم رائحة الشاي... هناك المزيد من الذكريات لاستكشافها...","Ah... this corner. Grandma used to sit here every morning. I can almost smell the tea... There are more memories to explore..."
nar_lv2_before,"ما هذا؟ رف قديم مغطى بالغبار... أتساءل ما الكنوز التي تختبئ هنا. لننظف هذا المكان!","What's this? An old shelf covered in dust... I wonder what treasures are hidden here. Let's clean this place up!"
nar_lv2_after,"ياه! صور قديمة... ورسائل! يبدو أن لجدتي قصة لم أعرفها من قبل... يجب أن أتعمق أكثر.","Wow! Old photos... and letters! It seems Grandma had a story I never knew... I need to dig deeper."
nar_lv3_before,"النافذة... كانت تطل على الشارع الرئيسي. أتذكر حين كنت صغيراً أجلس هنا أشاهد الناس... ما الأسرار التي تحملها؟","The window... it overlooked the main street. I remember as a child sitting here watching people... What secrets does it hold?"
nar_lv3_after,"خريطة قديمة! كانت جدتي مسافرة؟! هذا يفتح أبواب كثيرة... المغامرة الحقيقية تبدأ الآن! 🗺️","An old map! Grandma was a traveler?! This opens so many doors... The real adventure begins now! 🗺️"
msg_lv1_complete,"🎉 مبروك! حصلت على 100 عملة ذهبية! 💡 يمكنك استخدام العملات لشراء أدوات مساعدة في المراحل القادمة.","🎉 Congratulations! You earned 100 Gold Coins! 💡 You can use coins to buy helpful tools in upcoming levels."
msg_lv2_complete,"🎊 ممتاز! حصلت على 150 عملة و 7 جواهر! 🛒 الآن يمكنك زيارة المتجر وشراء أدوات مساعدة!","🎊 Excellent! You earned 150 Coins and 7 Gems! 🛒 Now you can visit the Shop and buy helpful tools!"
msg_lv3_complete,"🏆 رائع! لقد أكملت 3 مراحل! 📖 الآن يمكنك جمع الصور في جواز السفر!","🏆 Amazing! You completed 3 levels! 📖 Now you can collect images in your Passport!"
msg_shop_intro,"هذه الأداة تساعدك في المراحل الصعبة! جربها!","This tool helps you in difficult levels! Try it!"
msg_locked_tile,"هذا المربع مقفل! 🔒","This tile is locked! 🔒"
msg_unlock_success,"أحسنت! دمجة قوية تفتح الأقفال! 💪","Great job! A powerful merge opens locks! 💪"
msg_frozen_tile,"هذا المربع متجمد! ❄️ يحتاج دمجتين لإذابته!","This tile is frozen! ❄️ It needs two merges to thaw!"
msg_ice_melting,"دمجة واحدة... الجليد يذوب...","One merge... the ice is melting..."
msg_ice_done,"دمجة أخرى... مكشوف! 🎉","Another merge... revealed! 🎉"
msg_keylock_tile,"مربع خاص! لا يُفتح بالدمج العادي 🔑","Special tile! Regular merges won't work 🔑"
msg_keylock_done,"رائع! الآن يمكنك فتح أي مربع خاص! 🌟","Awesome! Now you can open any special tile! 🌟"
msg_almost_there,"💎 أنت قريب جداً!","💎 You're almost there!"
msg_special_offer,"🎁 عرض خاص لك!","🎁 Special offer for you!"
msg_ad_offer_tile,"شاهد إعلاناً لكشف بلاطة واحدة","Watch an ad to reveal one tile"
msg_ad_offer_start,"شاهد إعلاناً لبداية قوية","Watch an ad for a strong start"
msg_ad_offer_retry,"شاهد إعلاناً للمحاولة مرة أخرى","Watch an ad to try again"
msg_ad_offer_coins,"شاهد إعلاناً للحصول على عملات","Watch an ad to earn coins"
msg_ad_daily_chest,"شاهد إعلاناً لفتح صندوق يومي","Watch an ad to open the daily chest"
msg_premium_promo,"رائع! تقدمت بسرعة! 🎉 هل تريد التقدم أسرع؟ احصل على Premium Pass!","Amazing! You're progressing fast! 🎉 Want to go faster? Get the Premium Pass!"
msg_difficulty_help,"هذه المرحلة صعبة! 💪 هل تريد مساعدة؟","This level is tough! 💪 Need some help?"
msg_share_text,"لقد اكتشفت {place} في Sip & Seek: Nomad Cafe! 🎮","I discovered {place} in Sip & Seek: Nomad Cafe! 🎮"
msg_info_card_title,🎉 مبروك! لقد اكتشفت:,🎉 Congratulations! You discovered:
msg_did_you_know,📖 هل تعلم؟,📖 Did You Know?
msg_next_adventure,المغامرة القادمة:,Next Adventure:
